vector_type,vector_size,iteration,execution_time
0,1000,1,0.000184
0,1000,2,0.000220
0,1000,3,0.000182
0,1000,4,0.000185
0,1000,5,0.000193
0,1000,6,0.000181
0,1000,7,0.000187
0,1000,8,0.000183
0,1000,9,0.000184
0,1000,10,0.000184
1,1000,1,0.000172
1,1000,2,0.000163
1,1000,3,0.000168
1,1000,4,0.000165
1,1000,5,0.000180
1,1000,6,0.000172
1,1000,7,0.000172
1,1000,8,0.000170
1,1000,9,0.000164
1,1000,10,0.000172
2,1000,1,0.000168
2,1000,2,0.000162
2,1000,3,0.000158
2,1000,4,0.000156
2,1000,5,0.000162
2,1000,6,0.000168
2,1000,7,0.000159
2,1000,8,0.000168
2,1000,9,0.000169
2,1000,10,0.000157
