vector_type,vector_size,iteration,execution_time
0,1000,1,0.000183
0,1000,2,0.000213
0,1000,3,0.000177
0,1000,4,0.000183
0,1000,5,0.000174
0,1000,6,0.000170
0,1000,7,0.000203
0,1000,8,0.000180
0,1000,9,0.000182
0,1000,10,0.000174
1,1000,1,0.000114
1,1000,2,0.000115
1,1000,3,0.000103
1,1000,4,0.000115
1,1000,5,0.000119
1,1000,6,0.000115
1,1000,7,0.000112
1,1000,8,0.000116
1,1000,9,0.000112
1,1000,10,0.000116
2,1000,1,0.000116
2,1000,2,0.000114
2,1000,3,0.000111
2,1000,4,0.000116
2,1000,5,0.000113
2,1000,6,0.000122
2,1000,7,0.000110
2,1000,8,0.000113
2,1000,9,0.000117
2,1000,10,0.000110
