vector_type,vector_size,iteration,execution_time
0,25,1,0.000002
0,25,2,0.000003
0,25,3,0.000002
0,25,4,0.000002
0,25,5,0.000003
0,25,6,0.000003
0,25,7,0.000003
0,25,8,0.000003
0,25,9,0.000002
0,25,10,0.000002
0,100,1,0.000009
0,100,2,0.000008
0,100,3,0.000008
0,100,4,0.000008
0,100,5,0.000008
0,100,6,0.000008
0,100,7,0.000008
0,100,8,0.000007
0,100,9,0.000008
0,100,10,0.000008
0,500,1,0.000046
0,500,2,0.000046
0,500,3,0.000046
0,500,4,0.000045
0,500,5,0.000043
0,500,6,0.000045
0,500,7,0.000043
0,500,8,0.000043
0,500,9,0.000043
0,500,10,0.000054
0,1000,1,0.000149
0,1000,2,0.000089
0,1000,3,0.000089
0,1000,4,0.000090
0,1000,5,0.000089
0,1000,6,0.000088
0,1000,7,0.000089
0,1000,8,0.000090
0,1000,9,0.000089
0,1000,10,0.000090
0,2500,1,0.000248
0,2500,2,0.000252
0,2500,3,0.000253
0,2500,4,0.000249
0,2500,5,0.000253
0,2500,6,0.000325
0,2500,7,0.000257
0,2500,8,0.000303
0,2500,9,0.000250
0,2500,10,0.000252
0,5000,1,0.000539
0,5000,2,0.000563
0,5000,3,0.000543
0,5000,4,0.000542
0,5000,5,0.000546
0,5000,6,0.000540
0,5000,7,0.000565
0,5000,8,0.000550
0,5000,9,0.000618
0,5000,10,0.000741
0,7500,1,0.000904
0,7500,2,0.000869
0,7500,3,0.000854
0,7500,4,0.000865
0,7500,5,0.000995
0,7500,6,0.000847
0,7500,7,0.000849
0,7500,8,0.000861
0,7500,9,0.000887
0,7500,10,0.000845
0,10000,1,0.001159
0,10000,2,0.001194
0,10000,3,0.001156
0,10000,4,0.001177
0,10000,5,0.001175
0,10000,6,0.001206
0,10000,7,0.001172
0,10000,8,0.001182
0,10000,9,0.001333
0,10000,10,0.001277
0,15000,1,0.001980
0,15000,2,0.001926
0,15000,3,0.001835
0,15000,4,0.002088
0,15000,5,0.001944
0,15000,6,0.001913
0,15000,7,0.001955
0,15000,8,0.001950
0,15000,9,0.001818
0,15000,10,0.002199
0,20000,1,0.002530
0,20000,2,0.002782
0,20000,3,0.002735
0,20000,4,0.002487
0,20000,5,0.002492
0,20000,6,0.002571
0,20000,7,0.002507
0,20000,8,0.002551
0,20000,9,0.002550
0,20000,10,0.002501
0,25000,1,0.003358
0,25000,2,0.003407
0,25000,3,0.003263
0,25000,4,0.003206
0,25000,5,0.003209
0,25000,6,0.003168
0,25000,7,0.003397
0,25000,8,0.003262
0,25000,9,0.003297
0,25000,10,0.003212
0,30000,1,0.003936
0,30000,2,0.003914
0,30000,3,0.003965
0,30000,4,0.004095
0,30000,5,0.003894
0,30000,6,0.004164
0,30000,7,0.004193
0,30000,8,0.004302
0,30000,9,0.004055
0,30000,10,0.003897
0,35000,1,0.004643
0,35000,2,0.004808
0,35000,3,0.004587
0,35000,4,0.004584
0,35000,5,0.004640
0,35000,6,0.004578
0,35000,7,0.004553
0,35000,8,0.004690
0,35000,9,0.005739
0,35000,10,0.004896
0,40000,1,0.006556
0,40000,2,0.005734
0,40000,3,0.005749
0,40000,4,0.005599
0,40000,5,0.005736
0,40000,6,0.005730
0,40000,7,0.005586
0,40000,8,0.005349
0,40000,9,0.005405
0,40000,10,0.005564
0,45000,1,0.006218
0,45000,2,0.006229
0,45000,3,0.006064
0,45000,4,0.006169
0,45000,5,0.006209
0,45000,6,0.005972
0,45000,7,0.006519
0,45000,8,0.006532
0,45000,9,0.006000
0,45000,10,0.005994
0,50000,1,0.007093
0,50000,2,0.006874
0,50000,3,0.007415
0,50000,4,0.007230
0,50000,5,0.006678
0,50000,6,0.006771
0,50000,7,0.007063
0,50000,8,0.006861
0,50000,9,0.006870
0,50000,10,0.007084
0,55000,1,0.007975
0,55000,2,0.007490
0,55000,3,0.008958
0,55000,4,0.008053
0,55000,5,0.007604
0,55000,6,0.007591
0,55000,7,0.008029
0,55000,8,0.007560
0,55000,9,0.007542
0,55000,10,0.008012
0,60000,1,0.008413
0,60000,2,0.008353
0,60000,3,0.008360
0,60000,4,0.008819
0,60000,5,0.008371
0,60000,6,0.009213
0,60000,7,0.008189
0,60000,8,0.008208
0,60000,9,0.008872
0,60000,10,0.008445
0,65000,1,0.009357
0,65000,2,0.009244
0,65000,3,0.009103
0,65000,4,0.009490
0,65000,5,0.009231
0,65000,6,0.009737
0,65000,7,0.009406
0,65000,8,0.009711
0,65000,9,0.009593
0,65000,10,0.008903
0,70000,1,0.010487
0,70000,2,0.010054
0,70000,3,0.009810
0,70000,4,0.009991
0,70000,5,0.009859
0,70000,6,0.009762
