vector_type,vector_size,iteration,execution_time
0,25,1,0.000003
0,25,2,0.000003
0,25,3,0.000002
0,25,4,0.000003
0,25,5,0.000003
0,25,6,0.000003
0,25,7,0.000002
0,25,8,0.000002
0,25,9,0.000003
0,25,10,0.000003
0,100,1,0.000008
0,100,2,0.000008
0,100,3,0.000009
0,100,4,0.000008
0,100,5,0.000008
0,100,6,0.000008
0,100,7,0.000008
0,100,8,0.000008
0,100,9,0.000008
0,100,10,0.000009
0,500,1,0.000046
0,500,2,0.000045
0,500,3,0.000044
0,500,4,0.000065
0,500,5,0.000054
0,500,6,0.000055
0,500,7,0.000067
0,500,8,0.000045
0,500,9,0.000041
0,500,10,0.000042
0,1000,1,0.000089
0,1000,2,0.000096
0,1000,3,0.000110
0,1000,4,0.000132
0,1000,5,0.000091
0,1000,6,0.000089
0,1000,7,0.000089
0,1000,8,0.000108
0,1000,9,0.000090
0,1000,10,0.000091
0,2500,1,0.000270
0,2500,2,0.000268
0,2500,3,0.000249
0,2500,4,0.000253
0,2500,5,0.000255
0,2500,6,0.000267
0,2500,7,0.000281
0,2500,8,0.000253
0,2500,9,0.000250
0,2500,10,0.000267
0,5000,1,0.000549
0,5000,2,0.000553
0,5000,3,0.000588
0,5000,4,0.000597
0,5000,5,0.000575
0,5000,6,0.000583
0,5000,7,0.000563
0,5000,8,0.000543
0,5000,9,0.000625
0,5000,10,0.000551
0,7500,1,0.000867
0,7500,2,0.000889
0,7500,3,0.001027
0,7500,4,0.001066
0,7500,5,0.000917
0,7500,6,0.000911
0,7500,7,0.001020
0,7500,8,0.000925
0,7500,9,0.000913
0,7500,10,0.000922
0,10000,1,0.001273
0,10000,2,0.001251
0,10000,3,0.001169
0,10000,4,0.001195
0,10000,5,0.001436
0,10000,6,0.001237
0,10000,7,0.001277
0,10000,8,0.001177
0,10000,9,0.001210
0,10000,10,0.001210
0,15000,1,0.001881
0,15000,2,0.001873
0,15000,3,0.001850
0,15000,4,0.001944
0,15000,5,0.001833
0,15000,6,0.001957
0,15000,7,0.001905
0,15000,8,0.001955
0,15000,9,0.001845
0,15000,10,0.002057
0,20000,1,0.002696
0,20000,2,0.002767
0,20000,3,0.002890
0,20000,4,0.002569
0,20000,5,0.002660
0,20000,6,0.002716
0,20000,7,0.002710
0,20000,8,0.002549
0,20000,9,0.002679
0,20000,10,0.003168
0,25000,1,0.003208
0,25000,2,0.003380
0,25000,3,0.003276
0,25000,4,0.003133
0,25000,5,0.003290
0,25000,6,0.003258
0,25000,7,0.003188
0,25000,8,0.003219
0,25000,9,0.003454
0,25000,10,0.003431
0,30000,1,0.004032
0,30000,2,0.004224
0,30000,3,0.003890
0,30000,4,0.004084
0,30000,5,0.003900
0,30000,6,0.004318
0,30000,7,0.004076
0,30000,8,0.004077
0,30000,9,0.003975
0,30000,10,0.004027
0,35000,1,0.004762
0,35000,2,0.004658
0,35000,3,0.004959
0,35000,4,0.004751
0,35000,5,0.004884
0,35000,6,0.004778
0,35000,7,0.004643
0,35000,8,0.004961
0,35000,9,0.005042
0,35000,10,0.004674
0,40000,1,0.005343
0,40000,2,0.005397
0,40000,3,0.005323
0,40000,4,0.005506
0,40000,5,0.005399
0,40000,6,0.005396
0,40000,7,0.005845
0,40000,8,0.005707
0,40000,9,0.005378
0,40000,10,0.005698
0,45000,1,0.006179
0,45000,2,0.006243
0,45000,3,0.006503
0,45000,4,0.006735
0,45000,5,0.006101
0,45000,6,0.006506
0,45000,7,0.006440
0,45000,8,0.006110
0,45000,9,0.006216
0,45000,10,0.006206
0,50000,1,0.007195
0,50000,2,0.007264
0,50000,3,0.007299
0,50000,4,0.007082
0,50000,5,0.006888
0,50000,6,0.007283
0,50000,7,0.007182
0,50000,8,0.007395
0,50000,9,0.007310
0,50000,10,0.009084
0,55000,1,0.012579
0,55000,2,0.010998
0,55000,3,0.011201
0,55000,4,0.007551
0,55000,5,0.008012
0,55000,6,0.007724
0,55000,7,0.008072
0,55000,8,0.008178
0,55000,9,0.011000
0,55000,10,0.007953
0,60000,1,0.008414
0,60000,2,0.008520
0,60000,3,0.008846
0,60000,4,0.008160
0,60000,5,0.008665
0,60000,6,0.009011
0,60000,7,0.008896
0,60000,8,0.009245
0,60000,9,0.008924
0,60000,10,0.008765
0,65000,1,0.009664
0,65000,2,0.009714
0,65000,3,0.009115
0,65000,4,0.009438
0,65000,5,0.009100
0,65000,6,0.009453
0,65000,7,0.009691
0,65000,8,0.009075
0,65000,9,0.009746
0,65000,10,0.009732
0,70000,1,0.010030
0,70000,2,0.009772
0,70000,3,0.010478
0,70000,4,0.009833
0,70000,5,0.010010
0,70000,6,0.009999
0,70000,7,0.010107
0,70000,8,0.010160
0,70000,9,0.009872
0,70000,10,0.009714
0,75000,1,0.010701
0,75000,2,0.010722
0,75000,3,0.011376
0,75000,4,0.010973
0,75000,5,0.010640
0,75000,6,0.011553
0,75000,7,0.010782
0,75000,8,0.011677
0,75000,9,0.010429
0,75000,10,0.011414
0,80000,1,0.012033
0,80000,2,0.011824
0,80000,3,0.011497
0,80000,4,0.011796
0,80000,5,0.011872
0,80000,6,0.011472
0,80000,7,0.011573
0,80000,8,0.012425
0,80000,9,0.012183
0,80000,10,0.012291
0,85000,1,0.012329
0,85000,2,0.012386
0,85000,3,0.012482
0,85000,4,0.012298
0,85000,5,0.012338
0,85000,6,0.012515
0,85000,7,0.012264
0,85000,8,0.012137
0,85000,9,0.012868
0,85000,10,0.012254
0,90000,1,0.013206
0,90000,2,0.013728
0,90000,3,0.014038
0,90000,4,0.013815
0,90000,5,0.013042
0,90000,6,0.013706
0,90000,7,0.012995
0,90000,8,0.013679
0,90000,9,0.013943
0,90000,10,0.013002
0,95000,1,0.014577
0,95000,2,0.013922
0,95000,3,0.013971
0,95000,4,0.014155
0,95000,5,0.014207
0,95000,6,0.013804
0,95000,7,0.014142
0,95000,8,0.013757
0,95000,9,0.013895
0,95000,10,0.013865
0,100000,1,0.014431
0,100000,2,0.014437
0,100000,3,0.014996
0,100000,4,0.015717
0,100000,5,0.015606
0,100000,6,0.015167
0,100000,7,0.014804
0,100000,8,0.014329
0,100000,9,0.014697
0,100000,10,0.014821
