vector_type,vector_size,iteration,execution_time
0,25,1,0.000003
0,25,2,0.000003
0,25,3,0.000002
0,25,4,0.000002
0,25,5,0.000002
0,25,6,0.000002
0,25,7,0.000002
0,25,8,0.000002
0,25,9,0.000002
0,25,10,0.000002
0,100,1,0.000006
0,100,2,0.000006
0,100,3,0.000005
0,100,4,0.000006
0,100,5,0.000006
0,100,6,0.000004
0,100,7,0.000005
0,100,8,0.000005
0,100,9,0.000005
0,100,10,0.000005
0,500,1,0.000026
0,500,2,0.000018
0,500,3,0.000017
0,500,4,0.000017
0,500,5,0.000025
0,500,6,0.000026
0,500,7,0.000026
0,500,8,0.000016
0,500,9,0.000016
0,500,10,0.000017
0,1000,1,0.000031
0,1000,2,0.000042
0,1000,3,0.000031
0,1000,4,0.000032
0,1000,5,0.000029
0,1000,6,0.000031
0,1000,7,0.000030
0,1000,8,0.000032
0,1000,9,0.000031
0,1000,10,0.000031
0,2500,1,0.000096
0,2500,2,0.000076
0,2500,3,0.000074
0,2500,4,0.000075
0,2500,5,0.000074
0,2500,6,0.000075
0,2500,7,0.000075
0,2500,8,0.000075
0,2500,9,0.000075
0,2500,10,0.000075
0,5000,1,0.000148
0,5000,2,0.000160
0,5000,3,0.000266
0,5000,4,0.000157
0,5000,5,0.000148
0,5000,6,0.000167
0,5000,7,0.000149
0,5000,8,0.000149
0,5000,9,0.000150
0,5000,10,0.000152
0,7500,1,0.000222
0,7500,2,0.000227
0,7500,3,0.000398
0,7500,4,0.000273
0,7500,5,0.000241
0,7500,6,0.000240
0,7500,7,0.000244
0,7500,8,0.000240
0,7500,9,0.000237
0,7500,10,0.000255
0,10000,1,0.000339
0,10000,2,0.000331
0,10000,3,0.000313
0,10000,4,0.000302
0,10000,5,0.000429
0,10000,6,0.000310
0,10000,7,0.000446
0,10000,8,0.000346
0,10000,9,0.000300
0,10000,10,0.000301
0,15000,1,0.000466
0,15000,2,0.000485
0,15000,3,0.000492
0,15000,4,0.000494
0,15000,5,0.000469
0,15000,6,0.000517
0,15000,7,0.000506
0,15000,8,0.000539
0,15000,9,0.000507
0,15000,10,0.000520
0,20000,1,0.000738
0,20000,2,0.000821
0,20000,3,0.000759
0,20000,4,0.000660
0,20000,5,0.000735
0,20000,6,0.000702
0,20000,7,0.000727
0,20000,8,0.000692
0,20000,9,0.000726
0,20000,10,0.000844
0,25000,1,0.001004
0,25000,2,0.000818
0,25000,3,0.000877
0,25000,4,0.000886
0,25000,5,0.000921
0,25000,6,0.000939
0,25000,7,0.000909
0,25000,8,0.000966
0,25000,9,0.000965
0,25000,10,0.001030
0,30000,1,0.001304
0,30000,2,0.001252
0,30000,3,0.001153
0,30000,4,0.001172
0,30000,5,0.001155
0,30000,6,0.001195
0,30000,7,0.001181
0,30000,8,0.001144
0,30000,9,0.001219
0,30000,10,0.001152
0,35000,1,0.001428
0,35000,2,0.001697
0,35000,3,0.001488
0,35000,4,0.001416
0,35000,5,0.001457
0,35000,6,0.001329
0,35000,7,0.001374
0,35000,8,0.001505
0,35000,9,0.001399
0,35000,10,0.002150
0,40000,1,0.001637
0,40000,2,0.001676
0,40000,3,0.001764
0,40000,4,0.001710
0,40000,5,0.001550
0,40000,6,0.001641
0,40000,7,0.001756
0,40000,8,0.001797
0,40000,9,0.001742
0,40000,10,0.001714
0,45000,1,0.001937
0,45000,2,0.001826
0,45000,3,0.001907
0,45000,4,0.002491
0,45000,5,0.001551
0,45000,6,0.001954
0,45000,7,0.001872
0,45000,8,0.001872
0,45000,9,0.001855
0,45000,10,0.001905
0,50000,1,0.002144
0,50000,2,0.002188
0,50000,3,0.001844
0,50000,4,0.001843
0,50000,5,0.002004
0,50000,6,0.001898
0,50000,7,0.001993
0,50000,8,0.001876
0,50000,9,0.002024
0,50000,10,0.002336
0,55000,1,0.003611
0,55000,2,0.004935
0,55000,3,0.002429
0,55000,4,0.001911
0,55000,5,0.002222
0,55000,6,0.002077
0,55000,7,0.002266
0,55000,8,0.001939
0,55000,9,0.002428
0,55000,10,0.002198
0,60000,1,0.002362
0,60000,2,0.002234
0,60000,3,0.002670
0,60000,4,0.002549
0,60000,5,0.002617
0,60000,6,0.002286
0,60000,7,0.003115
0,60000,8,0.002209
0,60000,9,0.002654
0,60000,10,0.002700
0,65000,1,0.002771
0,65000,2,0.002816
0,65000,3,0.002838
0,65000,4,0.002933
0,65000,5,0.003038
0,65000,6,0.003002
0,65000,7,0.003019
0,65000,8,0.002853
0,65000,9,0.002966
0,65000,10,0.002901
0,70000,1,0.003084
0,70000,2,0.002619
0,70000,3,0.003283
0,70000,4,0.003148
0,70000,5,0.003889
0,70000,6,0.003224
0,70000,7,0.003143
0,70000,8,0.003113
0,70000,9,0.003288
0,70000,10,0.002956
0,75000,1,0.003514
0,75000,2,0.003378
0,75000,3,0.004298
0,75000,4,0.003001
0,75000,5,0.003339
0,75000,6,0.003351
0,75000,7,0.003257
0,75000,8,0.003198
0,75000,9,0.003309
0,75000,10,0.003469
0,80000,1,0.003173
0,80000,2,0.003240
0,80000,3,0.003689
0,80000,4,0.003655
0,80000,5,0.003579
0,80000,6,0.003636
0,80000,7,0.004202
0,80000,8,0.003490
0,80000,9,0.002922
0,80000,10,0.003287
0,85000,1,0.003211
0,85000,2,0.003176
0,85000,3,0.003772
0,85000,4,0.004810
0,85000,5,0.004344
0,85000,6,0.004115
0,85000,7,0.004124
0,85000,8,0.004094
0,85000,9,0.003868
0,85000,10,0.003187
0,90000,1,0.004282
0,90000,2,0.003588
0,90000,3,0.004325
0,90000,4,0.004492
0,90000,5,0.004307
0,90000,6,0.004610
0,90000,7,0.004101
0,90000,8,0.004281
0,90000,9,0.004518
0,90000,10,0.004425
0,95000,1,0.004693
0,95000,2,0.004813
0,95000,3,0.004510
0,95000,4,0.005488
0,95000,5,0.004821
0,95000,6,0.004715
0,95000,7,0.004569
0,95000,8,0.004753
0,95000,9,0.004534
0,95000,10,0.004216
0,100000,1,0.004142
0,100000,2,0.004094
0,100000,3,0.004169
0,100000,4,0.004496
0,100000,5,0.004496
0,100000,6,0.004564
0,100000,7,0.005292
0,100000,8,0.004949
0,100000,9,0.004657
0,100000,10,0.004211
