vector_size,execution_time
25,0.000003
100,0.000009
500,0.000059
1000,0.000126
2500,0.000296
5000,0.000678
7500,0.001151
10000,0.001510
15000,0.002300
20000,0.002731
25000,0.003396
30000,0.004278
35000,0.004967
40000,0.005708
45000,0.006185
50000,0.007425
55000,0.007901
60000,0.008458
65000,0.009106
70000,0.010163
75000,0.011181
80000,0.012034
85000,0.012664
90000,0.013683
95000,0.015500
100000,0.015319
