vector_size,execution_time
25,0.000003
100,0.000015
500,0.000088
1000,0.000208
2500,0.000590
5000,0.001168
7500,0.002148
10000,0.002609
15000,0.003999
20000,0.004659
25000,0.006063
30000,0.007200
35000,0.008834
40000,0.010005
45000,0.011241
50000,0.012831
55000,0.013972
60000,0.015794
65000,0.016506
70000,0.018348
75000,0.020101
80000,0.021834
85000,0.023353
90000,0.025459
95000,0.027366
100000,0.028721
