vector_type,vector_size,iteration,execution_time
0,1000,1,0.000184
0,1000,2,0.000182
0,1000,3,0.000182
0,1000,4,0.000183
0,1000,5,0.000183
0,1000,6,0.000181
0,1000,7,0.000180
0,1000,8,0.000180
0,1000,9,0.000181
0,1000,10,0.000182
1,1000,1,0.000124
1,1000,2,0.000121
1,1000,3,0.000120
1,1000,4,0.000119
1,1000,5,0.000120
1,1000,6,0.000117
1,1000,7,0.000121
1,1000,8,0.000126
1,1000,9,0.000122
1,1000,10,0.000123
2,1000,1,0.000117
2,1000,2,0.000119
2,1000,3,0.000124
2,1000,4,0.000129
2,1000,5,0.000138
2,1000,6,0.000115
2,1000,7,0.000119
2,1000,8,0.000118
2,1000,9,0.000116
2,1000,10,0.000120
