vector_type,vector_size,iteration,execution_time
0,1000,1,0.003219
0,1000,2,0.003215
0,1000,3,0.003218
0,1000,4,0.003223
0,1000,5,0.003162
0,1000,6,0.003120
0,1000,7,0.003232
0,1000,8,0.003182
0,1000,9,0.003233
0,1000,10,0.003258
1,1000,1,0.002004
1,1000,2,0.001952
1,1000,3,0.001958
1,1000,4,0.001952
1,1000,5,0.001943
1,1000,6,0.001972
1,1000,7,0.001943
1,1000,8,0.001955
1,1000,9,0.001957
1,1000,10,0.001999
2,1000,1,0.003676
2,1000,2,0.003492
2,1000,3,0.003773
2,1000,4,0.003821
2,1000,5,0.003677
2,1000,6,0.003726
2,1000,7,0.003615
2,1000,8,0.003744
2,1000,9,0.003540
2,1000,10,0.003438
