vector_type,vector_size,iteration,execution_time
0,25,1,0.000003
0,25,2,0.000002
0,25,3,0.000002
0,25,4,0.000002
0,25,5,0.000002
0,25,6,0.000002
0,25,7,0.000002
0,25,8,0.000002
0,25,9,0.000002
0,25,10,0.000002
0,100,1,0.000012
0,100,2,0.000012
0,100,3,0.000011
0,100,4,0.000011
0,100,5,0.000010
0,100,6,0.000010
0,100,7,0.000010
0,100,8,0.000010
0,100,9,0.000010
0,100,10,0.000010
0,500,1,0.000075
0,500,2,0.000073
0,500,3,0.000069
0,500,4,0.000068
0,500,5,0.000069
0,500,6,0.000068
0,500,7,0.000068
0,500,8,0.000305
0,500,9,0.000069
0,500,10,0.000069
0,1000,1,0.000165
0,1000,2,0.000156
0,1000,3,0.000155
0,1000,4,0.000153
0,1000,5,0.000153
0,1000,6,0.000152
0,1000,7,0.000166
0,1000,8,0.000163
0,1000,9,0.000164
0,1000,10,0.000162
0,2500,1,0.000464
0,2500,2,0.000445
0,2500,3,0.000430
0,2500,4,0.000429
0,2500,5,0.000431
0,2500,6,0.000432
0,2500,7,0.000431
0,2500,8,0.000429
0,2500,9,0.000432
0,2500,10,0.000459
0,5000,1,0.001003
0,5000,2,0.000933
0,5000,3,0.000937
0,5000,4,0.000959
0,5000,5,0.000998
0,5000,6,0.001005
0,5000,7,0.001001
0,5000,8,0.001001
0,5000,9,0.001039
0,5000,10,0.001033
0,7500,1,0.001487
0,7500,2,0.001578
0,7500,3,0.001575
0,7500,4,0.001563
0,7500,5,0.001627
0,7500,6,0.001564
0,7500,7,0.001466
0,7500,8,0.001563
0,7500,9,0.001578
0,7500,10,0.001601
0,10000,1,0.002031
0,10000,2,0.002022
0,10000,3,0.002016
0,10000,4,0.002045
0,10000,5,0.002166
0,10000,6,0.002023
0,10000,7,0.002157
0,10000,8,0.002225
0,10000,9,0.002164
0,10000,10,0.002034
0,15000,1,0.003222
0,15000,2,0.003443
0,15000,3,0.003441
0,15000,4,0.003195
0,15000,5,0.003206
0,15000,6,0.003449
0,15000,7,0.003204
0,15000,8,0.003200
0,15000,9,0.003194
0,15000,10,0.003198
0,20000,1,0.004406
0,20000,2,0.004759
0,20000,3,0.004759
0,20000,4,0.004454
0,20000,5,0.004417
0,20000,6,0.004490
0,20000,7,0.004802
0,20000,8,0.004428
0,20000,9,0.004706
0,20000,10,0.005377
0,25000,1,0.006108
0,25000,2,0.005842
0,25000,3,0.005694
0,25000,4,0.005925
0,25000,5,0.005769
0,25000,6,0.005622
0,25000,7,0.008759
0,25000,8,0.006227
0,25000,9,0.006030
0,25000,10,0.005650
0,30000,1,0.006975
0,30000,2,0.007371
0,30000,3,0.007377
0,30000,4,0.006993
0,30000,5,0.007122
0,30000,6,0.007198
0,30000,7,0.006897
0,30000,8,0.006899
0,30000,9,0.006982
0,30000,10,0.009774
0,35000,1,0.008921
0,35000,2,0.009536
0,35000,3,0.008371
0,35000,4,0.008748
0,35000,5,0.008479
0,35000,6,0.008839
0,35000,7,0.008196
0,35000,8,0.008256
0,35000,9,0.008234
0,35000,10,0.008327
0,40000,1,0.010114
0,40000,2,0.010147
0,40000,3,0.009687
0,40000,4,0.009526
0,40000,5,0.009494
0,40000,6,0.009611
0,40000,7,0.009454
0,40000,8,0.009700
0,40000,9,0.009592
0,40000,10,0.009629
0,45000,1,0.010836
0,45000,2,0.011747
0,45000,3,0.010807
0,45000,4,0.011397
0,45000,5,0.011669
0,45000,6,0.010949
0,45000,7,0.011054
0,45000,8,0.010924
0,45000,9,0.011398
0,45000,10,0.010949
0,50000,1,0.012578
0,50000,2,0.012252
0,50000,3,0.012161
0,50000,4,0.012128
0,50000,5,0.013088
0,50000,6,0.013009
0,50000,7,0.012223
0,50000,8,0.013143
0,50000,9,0.013624
0,50000,10,0.012208
