vector_type,vector_size,iteration,execution_time
0,25,1,0.000002
0,25,2,0.000001
0,25,3,0.000001
0,25,4,0.000002
0,25,5,0.000002
0,25,6,0.000001
0,25,7,0.000002
0,25,8,0.000002
0,25,9,0.000002
0,25,10,0.000002
0,100,1,0.000010
0,100,2,0.000010
0,100,3,0.000010
0,100,4,0.000011
0,100,5,0.000011
0,100,6,0.000010
0,100,7,0.000011
0,100,8,0.000010
0,100,9,0.000010
0,100,10,0.000010
0,500,1,0.000208
0,500,2,0.000208
0,500,3,0.000215
0,500,4,0.000194
0,500,5,0.000194
0,500,6,0.000194
0,500,7,0.000194
0,500,8,0.000260
0,500,9,0.000195
0,500,10,0.000213
0,1000,1,0.000811
0,1000,2,0.000808
0,1000,3,0.000759
0,1000,4,0.000758
0,1000,5,0.000758
0,1000,6,0.000759
0,1000,7,0.000811
0,1000,8,0.000811
0,1000,9,0.000811
0,1000,10,0.000811
0,2500,1,0.005441
0,2500,2,0.004929
0,2500,3,0.004681
0,2500,4,0.004697
0,2500,5,0.004755
0,2500,6,0.004745
0,2500,7,0.004729
0,2500,8,0.004703
0,2500,9,0.004758
0,2500,10,0.005043
0,5000,1,0.019417
0,5000,2,0.018346
0,5000,3,0.018669
0,5000,4,0.018418
0,5000,5,0.019616
0,5000,6,0.021877
0,5000,7,0.020442
0,5000,8,0.019728
0,5000,9,0.019926
0,5000,10,0.019017
0,7500,1,0.042485
0,7500,2,0.049663
0,7500,3,0.045086
0,7500,4,0.042602
0,7500,5,0.047334
0,7500,6,0.043913
0,7500,7,0.043602
0,7500,8,0.044016
0,7500,9,0.044238
0,7500,10,0.042842
0,10000,1,0.076610
0,10000,2,0.075747
0,10000,3,0.074702
0,10000,4,0.079314
0,10000,5,0.075808
0,10000,6,0.076260
0,10000,7,0.080099
0,10000,8,0.078641
0,10000,9,0.076053
0,10000,10,0.081733
0,15000,1,0.176185
0,15000,2,0.175345
0,15000,3,0.175972
0,15000,4,0.176757
0,15000,5,0.169268
0,15000,6,0.172031
0,15000,7,0.181084
0,15000,8,0.170304
0,15000,9,0.172370
0,15000,10,0.171211
0,20000,1,0.333510
0,20000,2,0.371294
0,20000,3,0.304995
0,20000,4,0.314823
0,20000,5,0.310758
0,20000,6,0.308048
0,20000,7,0.314506
0,20000,8,0.309123
0,20000,9,0.307422
0,20000,10,0.306245
0,25000,1,0.480677
0,25000,2,0.481175
0,25000,3,0.481151
0,25000,4,0.480337
0,25000,5,0.483321
0,25000,6,0.471680
0,25000,7,0.478023
0,25000,8,0.482632
0,25000,9,0.482876
0,25000,10,0.476173
0,30000,1,0.689908
0,30000,2,0.693188
0,30000,3,0.703798
0,30000,4,0.723581
0,30000,5,0.691736
0,30000,6,0.696705
0,30000,7,0.686814
0,30000,8,0.701424
0,30000,9,0.697709
0,30000,10,0.711642
0,35000,1,0.942972
0,35000,2,0.977405
0,35000,3,0.941097
0,35000,4,0.935309
0,35000,5,0.941068
0,35000,6,0.956999
0,35000,7,0.945236
0,35000,8,0.951941
0,35000,9,0.942760
0,35000,10,0.948724
0,40000,1,1.217268
0,40000,2,1.223263
0,40000,3,1.297976
0,40000,4,1.230640
0,40000,5,1.239266
0,40000,6,1.246092
0,40000,7,1.237202
0,40000,8,1.260008
0,40000,9,1.240751
0,40000,10,1.230198
0,45000,1,1.584450
0,45000,2,1.735509
0,45000,3,1.569853
0,45000,4,1.567945
0,45000,5,1.760894
0,45000,6,1.594008
0,45000,7,1.569301
0,45000,8,1.562278
0,45000,9,1.565374
0,45000,10,1.567746
0,50000,1,1.914451
0,50000,2,2.107405
0,50000,3,1.940980
0,50000,4,1.985122
0,50000,5,1.942773
0,50000,6,1.929321
0,50000,7,1.951593
0,50000,8,1.946654
0,50000,9,2.016168
0,50000,10,1.930846
