vector_type,vector_size,iteration,execution_time
0,25,1,0.000801
0,25,2,0.000484
0,25,3,0.000331
0,25,4,0.000306
0,25,5,0.000281
0,25,6,0.000297
0,25,7,0.000304
0,25,8,0.000345
0,25,9,0.000556
0,25,10,0.000308
0,100,1,0.000305
0,100,2,0.000310
0,100,3,0.000463
0,100,4,0.000339
0,100,5,0.000313
0,100,6,0.000308
0,100,7,0.000325
0,100,8,0.000312
0,100,9,0.000541
0,100,10,0.000310
0,500,1,0.000320
0,500,2,0.000335
0,500,3,0.000321
0,500,4,0.000321
0,500,5,0.000318
0,500,6,0.000392
0,500,7,0.000493
0,500,8,0.000615
0,500,9,0.000339
0,500,10,0.000342
0,1000,1,0.000351
0,1000,2,0.000395
0,1000,3,0.000329
0,1000,4,0.000329
0,1000,5,0.000330
0,1000,6,0.000329
0,1000,7,0.000327
0,1000,8,0.000329
0,1000,9,0.000330
0,1000,10,0.000330
0,2500,1,0.000354
0,2500,2,0.000354
0,2500,3,0.000353
0,2500,4,0.000354
0,2500,5,0.000588
0,2500,6,0.000381
0,2500,7,0.000355
0,2500,8,0.000355
0,2500,9,0.000381
0,2500,10,0.000354
0,5000,1,0.000577
0,5000,2,0.000427
0,5000,3,0.000553
0,5000,4,0.000415
0,5000,5,0.000424
0,5000,6,0.000424
0,5000,7,0.000424
0,5000,8,0.000416
0,5000,9,0.000422
0,5000,10,0.000423
0,7500,1,0.000464
0,7500,2,0.000455
0,7500,3,0.000490
0,7500,4,0.000516
0,7500,5,0.000477
0,7500,6,0.000449
0,7500,7,0.000546
0,7500,8,0.000475
0,7500,9,0.000442
0,7500,10,0.000439
0,10000,1,0.000805
0,10000,2,0.000581
0,10000,3,0.000565
0,10000,4,0.000580
0,10000,5,0.000516
0,10000,6,0.000471
0,10000,7,0.000580
0,10000,8,0.000503
0,10000,9,0.000540
0,10000,10,0.000537
0,15000,1,0.000573
0,15000,2,0.000613
0,15000,3,0.000568
0,15000,4,0.000563
0,15000,5,0.000583
0,15000,6,0.000638
0,15000,7,0.000662
0,15000,8,0.000631
0,15000,9,0.000600
0,15000,10,0.000613
0,20000,1,0.000697
0,20000,2,0.000860
0,20000,3,0.000712
0,20000,4,0.000717
0,20000,5,0.000653
0,20000,6,0.000709
0,20000,7,0.000717
0,20000,8,0.000642
0,20000,9,0.000695
0,20000,10,0.000641
0,25000,1,0.000735
0,25000,2,0.000739
0,25000,3,0.000727
0,25000,4,0.000948
0,25000,5,0.000797
0,25000,6,0.000798
0,25000,7,0.000760
0,25000,8,0.000783
0,25000,9,0.000725
0,25000,10,0.000853
0,30000,1,0.000841
0,30000,2,0.000842
0,30000,3,0.000896
0,30000,4,0.000873
0,30000,5,0.000857
0,30000,6,0.000830
0,30000,7,0.000795
0,30000,8,0.000849
0,30000,9,0.000806
0,30000,10,0.000794
0,35000,1,0.000960
0,35000,2,0.000926
0,35000,3,0.000893
0,35000,4,0.001159
0,35000,5,0.000867
0,35000,6,0.000866
0,35000,7,0.000864
0,35000,8,0.001062
0,35000,9,0.000933
0,35000,10,0.000967
0,40000,1,0.000955
0,40000,2,0.000944
0,40000,3,0.000968
0,40000,4,0.001027
0,40000,5,0.000957
0,40000,6,0.000999
0,40000,7,0.000964
0,40000,8,0.000982
0,40000,9,0.001081
0,40000,10,0.001034
0,45000,1,0.001237
0,45000,2,0.001108
0,45000,3,0.001038
0,45000,4,0.001249
0,45000,5,0.001261
