vector_type,vector_size,iteration,execution_time
0,25,1,0.000005
0,25,2,0.000004
0,25,3,0.000003
0,25,4,0.000004
0,25,5,0.000003
0,25,6,0.000004
0,25,7,0.000003
0,25,8,0.000003
0,25,9,0.000003
0,25,10,0.000003
0,100,1,0.000013
0,100,2,0.000012
0,100,3,0.000013
0,100,4,0.000012
0,100,5,0.000012
0,100,6,0.000012
0,100,7,0.000012
0,100,8,0.000012
0,100,9,0.000012
0,100,10,0.000012
0,500,1,0.000072
0,500,2,0.000070
0,500,3,0.000094
0,500,4,0.000070
0,500,5,0.000070
0,500,6,0.000069
0,500,7,0.000069
0,500,8,0.000065
0,500,9,0.000065
0,500,10,0.000065
0,1000,1,0.000140
0,1000,2,0.000156
0,1000,3,0.000141
0,1000,4,0.000139
0,1000,5,0.000140
0,1000,6,0.000138
0,1000,7,0.000138
0,1000,8,0.000140
0,1000,9,0.000244
0,1000,10,0.000140
0,2500,1,0.000385
0,2500,2,0.000405
0,2500,3,0.000383
0,2500,4,0.000395
0,2500,5,0.000581
0,2500,6,0.000388
0,2500,7,0.000436
0,2500,8,0.000390
0,2500,9,0.000421
0,2500,10,0.000384
0,5000,1,0.000880
0,5000,2,0.000859
0,5000,3,0.001066
0,5000,4,0.000894
0,5000,5,0.000848
0,5000,6,0.000863
0,5000,7,0.000861
0,5000,8,0.000876
0,5000,9,0.000819
0,5000,10,0.001143
0,7500,1,0.001362
0,7500,2,0.001439
0,7500,3,0.001285
0,7500,4,0.001306
0,7500,5,0.001717
0,7500,6,0.001406
0,7500,7,0.001312
0,7500,8,0.001353
0,7500,9,0.001407
0,7500,10,0.001347
0,10000,1,0.001808
0,10000,2,0.001775
0,10000,3,0.001892
0,10000,4,0.001854
0,10000,5,0.001780
0,10000,6,0.001808
0,10000,7,0.001787
0,10000,8,0.001754
0,10000,9,0.001775
0,10000,10,0.001792
0,15000,1,0.002791
0,15000,2,0.002735
0,15000,3,0.002821
0,15000,4,0.002805
0,15000,5,0.002779
0,15000,6,0.002776
0,15000,7,0.002926
0,15000,8,0.003632
0,15000,9,0.002922
0,15000,10,0.002928
0,20000,1,0.004042
0,20000,2,0.004015
0,20000,3,0.004148
0,20000,4,0.004011
0,20000,5,0.003981
0,20000,6,0.004087
0,20000,7,0.003974
0,20000,8,0.003889
0,20000,9,0.003825
0,20000,10,0.003880
0,25000,1,0.005229
0,25000,2,0.005104
0,25000,3,0.005098
0,25000,4,0.004846
0,25000,5,0.005268
0,25000,6,0.005141
0,25000,7,0.005137
0,25000,8,0.004962
0,25000,9,0.004940
0,25000,10,0.004914
0,30000,1,0.005963
0,30000,2,0.006151
0,30000,3,0.006207
0,30000,4,0.006368
0,30000,5,0.005888
0,30000,6,0.005859
0,30000,7,0.006167
0,30000,8,0.006250
0,30000,9,0.005903
0,30000,10,0.005911
0,35000,1,0.007062
0,35000,2,0.007089
