vector_type,vector_size,iteration,execution_time
0,25,1,0.000003
0,25,2,0.000003
0,25,3,0.000003
0,25,4,0.000003
0,25,5,0.000003
0,25,6,0.000004
0,25,7,0.000004
0,25,8,0.000004
0,25,9,0.000004
0,25,10,0.000006
0,100,1,0.000015
0,100,2,0.000012
0,100,3,0.000012
0,100,4,0.000012
0,100,5,0.000011
0,100,6,0.000011
0,100,7,0.000012
0,100,8,0.000012
0,100,9,0.000012
0,100,10,0.000012
0,500,1,0.000074
0,500,2,0.000074
0,500,3,0.000074
0,500,4,0.000073
0,500,5,0.000070
0,500,6,0.000069
0,500,7,0.000069
0,500,8,0.000075
0,500,9,0.000070
0,500,10,0.000069
0,1000,1,0.000153
0,1000,2,0.000211
0,1000,3,0.000381
0,1000,4,0.000200
0,1000,5,0.000200
0,1000,6,0.000170
0,1000,7,0.000154
0,1000,8,0.000152
0,1000,9,0.000152
0,1000,10,0.000152
0,2500,1,0.000426
0,2500,2,0.000584
0,2500,3,0.000443
0,2500,4,0.000430
0,2500,5,0.000451
0,2500,6,0.000429
0,2500,7,0.000427
0,2500,8,0.000428
0,2500,9,0.000457
0,2500,10,0.000430
0,5000,1,0.001215
0,5000,2,0.000933
0,5000,3,0.000942
0,5000,4,0.000932
0,5000,5,0.000931
0,5000,6,0.000952
0,5000,7,0.000934
0,5000,8,0.000969
0,5000,9,0.000930
0,5000,10,0.000930
0,7500,1,0.002170
0,7500,2,0.002017
0,7500,3,0.001512
0,7500,4,0.001480
0,7500,5,0.001672
0,7500,6,0.001562
0,7500,7,0.001590
0,7500,8,0.001564
0,7500,9,0.001592
0,7500,10,0.001563
0,10000,1,0.002298
0,10000,2,0.002281
0,10000,3,0.002150
0,10000,4,0.002254
0,10000,5,0.002194
0,10000,6,0.002147
0,10000,7,0.002280
0,10000,8,0.002082
0,10000,9,0.002056
0,10000,10,0.002024
0,15000,1,0.003222
0,15000,2,0.003185
0,15000,3,0.003154
0,15000,4,0.003368
0,15000,5,0.003187
0,15000,6,0.003174
0,15000,7,0.003379
0,15000,8,0.003312
0,15000,9,0.003398
0,15000,10,0.003197
0,20000,1,0.004439
0,20000,2,0.004493
0,20000,3,0.004417
0,20000,4,0.004823
0,20000,5,0.004670
0,20000,6,0.004389
0,20000,7,0.004716
0,20000,8,0.004394
0,20000,9,0.004546
0,20000,10,0.004626
0,25000,1,0.005709
0,25000,2,0.005743
0,25000,3,0.005635
0,25000,4,0.005593
0,25000,5,0.005979
0,25000,6,0.006787
0,25000,7,0.006186
0,25000,8,0.005652
0,25000,9,0.006005
0,25000,10,0.006009
0,30000,1,0.006928
0,30000,2,0.006909
0,30000,3,0.007011
0,30000,4,0.006916
0,30000,5,0.006947
0,30000,6,0.007468
0,30000,7,0.007659
0,30000,8,0.006892
0,30000,9,0.006933
0,30000,10,0.007140
0,35000,1,0.008531
0,35000,2,0.008148
0,35000,3,0.008136
0,35000,4,0.008251
0,35000,5,0.008169
0,35000,6,0.008146
0,35000,7,0.008594
0,35000,8,0.008711
0,35000,9,0.008674
0,35000,10,0.008195
0,40000,1,0.009565
0,40000,2,0.009435
0,40000,3,0.009630
0,40000,4,0.010072
0,40000,5,0.009833
0,40000,6,0.009684
0,40000,7,0.009470
0,40000,8,0.009461
0,40000,9,0.009676
0,40000,10,0.009821
0,45000,1,0.010772
0,45000,2,0.010919
0,45000,3,0.011166
0,45000,4,0.010969
0,45000,5,0.010866
0,45000,6,0.010764
0,45000,7,0.011519
0,45000,8,0.011722
0,45000,9,0.010922
0,45000,10,0.010973
0,50000,1,0.012248
0,50000,2,0.012353
0,50000,3,0.012290
0,50000,4,0.012462
0,50000,5,0.012264
0,50000,6,0.012759
0,50000,7,0.012973
0,50000,8,0.013136
0,50000,9,0.012352
0,50000,10,0.013106
0,55000,1,0.014124
0,55000,2,0.013750
0,55000,3,0.013622
0,55000,4,0.014389
0,55000,5,0.014595
0,55000,6,0.013944
0,55000,7,0.014482
0,55000,8,0.013710
0,55000,9,0.015189
0,55000,10,0.014479
0,60000,1,0.015641
0,60000,2,0.014851
0,60000,3,0.015445
0,60000,4,0.015809
0,60000,5,0.015026
0,60000,6,0.014855
0,60000,7,0.015506
0,60000,8,0.015095
0,60000,9,0.014915
0,60000,10,0.015019
0,65000,1,0.016349
0,65000,2,0.019107
0,65000,3,0.017403
0,65000,4,0.016339
0,65000,5,0.016350
0,65000,6,0.016438
0,65000,7,0.017452
0,65000,8,0.016723
0,65000,9,0.017349
0,65000,10,0.016734
0,70000,1,0.019246
0,70000,2,0.018951
0,70000,3,0.018998
0,70000,4,0.017614
0,70000,5,0.018021
0,70000,6,0.017735
0,70000,7,0.019075
0,70000,8,0.017843
0,70000,9,0.018162
0,70000,10,0.018927
0,75000,1,0.019546
0,75000,2,0.019024
0,75000,3,0.020110
0,75000,4,0.019095
0,75000,5,0.020108
0,75000,6,0.019156
0,75000,7,0.019043
0,75000,8,0.019374
0,75000,9,0.019236
0,75000,10,0.019231
0,80000,1,0.021570
0,80000,2,0.020526
0,80000,3,0.020782
0,80000,4,0.020733
0,80000,5,0.020928
0,80000,6,0.020543
0,80000,7,0.020711
0,80000,8,0.022450
0,80000,9,0.020789
0,80000,10,0.020619
0,85000,1,0.022050
0,85000,2,0.022913
0,85000,3,0.022317
0,85000,4,0.021963
0,85000,5,0.023994
0,85000,6,0.022522
0,85000,7,0.022679
0,85000,8,0.022063
0,85000,9,0.022416
0,85000,10,0.022203
0,90000,1,0.024138
0,90000,2,0.024004
0,90000,3,0.024169
0,90000,4,0.023606
0,90000,5,0.023426
0,90000,6,0.025084
0,90000,7,0.024539
0,90000,8,0.024066
0,90000,9,0.023412
0,90000,10,0.023325
0,95000,1,0.026967
0,95000,2,0.024984
0,95000,3,0.026352
0,95000,4,0.026593
0,95000,5,0.024840
0,95000,6,0.025929
0,95000,7,0.025264
0,95000,8,0.025145
0,95000,9,0.025562
0,95000,10,0.025024
0,100000,1,0.026640
0,100000,2,0.027029
0,100000,3,0.026317
0,100000,4,0.027619
0,100000,5,0.028111
0,100000,6,0.026628
0,100000,7,0.027816
0,100000,8,0.028252
0,100000,9,0.026391
0,100000,10,0.026379
