vector_type,vector_size,iteration,execution_time
0,25,1,0.000006
0,25,2,0.000006
0,25,3,0.000006
0,25,4,0.000006
0,25,5,0.000008
0,25,6,0.000008
0,25,7,0.000008
0,25,8,0.000008
0,25,9,0.000008
0,25,10,0.000008
0,100,1,0.000009
0,100,2,0.000009
0,100,3,0.000009
0,100,4,0.000009
0,100,5,0.000009
0,100,6,0.000009
0,100,7,0.000008
0,100,8,0.000009
0,100,9,0.000009
0,100,10,0.000009
0,500,1,0.000027
0,500,2,0.000034
0,500,3,0.000038
0,500,4,0.000024
0,500,5,0.000024
0,500,6,0.000024
0,500,7,0.000028
0,500,8,0.000028
0,500,9,0.000025
0,500,10,0.000027
0,1000,1,0.000068
0,1000,2,0.000071
0,1000,3,0.000046
0,1000,4,0.000046
0,1000,5,0.000048
0,1000,6,0.000046
0,1000,7,0.000043
0,1000,8,0.000043
0,1000,9,0.000043
0,1000,10,0.000043
0,2500,1,0.000100
0,2500,2,0.000159
0,2500,3,0.000108
0,2500,4,0.000103
0,2500,5,0.000102
0,2500,6,0.000101
0,2500,7,0.000100
0,2500,8,0.000099
0,2500,9,0.000105
0,2500,10,0.000100
0,5000,1,0.000271
0,5000,2,0.000211
0,5000,3,0.000199
0,5000,4,0.000201
0,5000,5,0.000193
0,5000,6,0.000219
0,5000,7,0.000366
0,5000,8,0.000202
0,5000,9,0.000199
0,5000,10,0.000192
0,7500,1,0.000487
0,7500,2,0.000461
0,7500,3,0.000336
0,7500,4,0.000295
0,7500,5,0.000319
0,7500,6,0.000323
0,7500,7,0.000317
0,7500,8,0.000322
0,7500,9,0.000309
0,7500,10,0.000313
0,10000,1,0.000489
0,10000,2,0.000419
0,10000,3,0.000424
0,10000,4,0.000423
0,10000,5,0.000437
0,10000,6,0.000439
0,10000,7,0.000405
0,10000,8,0.000388
0,10000,9,0.000402
0,10000,10,0.000395
0,15000,1,0.000592
0,15000,2,0.000573
0,15000,3,0.000601
0,15000,4,0.000577
0,15000,5,0.000611
0,15000,6,0.000619
0,15000,7,0.000627
0,15000,8,0.000609
0,15000,9,0.000634
0,15000,10,0.000597
0,20000,1,0.000779
0,20000,2,0.000793
0,20000,3,0.000823
0,20000,4,0.000872
0,20000,5,0.000797
0,20000,6,0.000815
0,20000,7,0.000834
0,20000,8,0.000769
0,20000,9,0.000830
0,20000,10,0.000792
0,25000,1,0.000983
0,25000,2,0.000976
0,25000,3,0.001885
0,25000,4,0.001458
0,25000,5,0.001062
0,25000,6,0.001551
0,25000,7,0.001064
0,25000,8,0.000958
0,25000,9,0.001031
0,25000,10,0.001041
0,30000,1,0.001166
0,30000,2,0.001262
0,30000,3,0.001172
0,30000,4,0.001154
0,30000,5,0.001181
0,30000,6,0.001268
0,30000,7,0.001252
0,30000,8,0.001259
0,30000,9,0.001199
0,30000,10,0.001288
0,35000,1,0.001342
0,35000,2,0.001342
0,35000,3,0.001551
0,35000,4,0.001373
0,35000,5,0.001368
0,35000,6,0.001536
0,35000,7,0.001351
0,35000,8,0.001368
0,35000,9,0.001473
0,35000,10,0.001370
0,40000,1,0.001588
0,40000,2,0.001592
0,40000,3,0.001567
0,40000,4,0.001577
0,40000,5,0.001554
0,40000,6,0.001578
0,40000,7,0.001640
0,40000,8,0.001722
0,40000,9,0.001556
0,40000,10,0.001567
0,45000,1,0.001750
0,45000,2,0.001961
0,45000,3,0.001767
0,45000,4,0.001758
0,45000,5,0.001745
0,45000,6,0.001857
0,45000,7,0.001827
0,45000,8,0.001857
0,45000,9,0.001759
0,45000,10,0.001882
0,50000,1,0.002071
0,50000,2,0.001912
0,50000,3,0.002085
0,50000,4,0.002083
0,50000,5,0.001976
0,50000,6,0.002081
0,50000,7,0.002108
0,50000,8,0.001928
0,50000,9,0.003210
0,50000,10,0.002013
0,55000,1,0.002098
0,55000,2,0.002115
0,55000,3,0.002140
0,55000,4,0.002303
