vector_size,execution_time
25,0.000002
100,0.000013
500,0.000249
1000,0.000772
2500,0.005047
5000,0.020300
7500,0.046901
10000,0.078389
15000,0.176235
20000,0.318745
25000,0.486748
30000,0.702058
35000,0.939350
40000,1.231537
45000,1.563532
50000,1.920094
