vector_size,execution_time
25,0.000003
100,0.000038
500,0.000756
1000,0.002265
2500,0.014865
5000,0.066596
7500,0.164222
10000,0.296579
15000,0.698452
20000,1.245493
25000,2.000412
30000,2.894625
35000,3.907826
40000,5.158371
45000,6.510746
50000,8.098092
