vector_type,vector_size,iteration,execution_time
0,25,1,0.000003
0,25,2,0.000003
0,25,3,0.000003
0,25,4,0.000003
0,25,5,0.000003
0,25,6,0.000003
0,25,7,0.000003
0,25,8,0.000003
0,25,9,0.000003
0,25,10,0.000003
0,100,1,0.000012
0,100,2,0.000012
0,100,3,0.000012
0,100,4,0.000012
0,100,5,0.000012
0,100,6,0.000012
0,100,7,0.000012
0,100,8,0.000012
0,100,9,0.000011
0,100,10,0.000012
0,500,1,0.000073
0,500,2,0.000075
0,500,3,0.000074
0,500,4,0.000075
0,500,5,0.000074
0,500,6,0.000073
0,500,7,0.000074
0,500,8,0.000075
0,500,9,0.000074
0,500,10,0.000086
0,1000,1,0.000154
0,1000,2,0.000155
0,1000,3,0.000153
0,1000,4,0.000154
0,1000,5,0.000153
0,1000,6,0.000176
0,1000,7,0.000166
0,1000,8,0.000152
0,1000,9,0.000153
0,1000,10,0.000154
0,2500,1,0.000628
0,2500,2,0.000435
0,2500,3,0.000507
0,2500,4,0.000433
0,2500,5,0.000451
0,2500,6,0.000437
0,2500,7,0.000452
0,2500,8,0.000433
0,2500,9,0.000474
0,2500,10,0.000535
0,5000,1,0.000960
0,5000,2,0.000966
0,5000,3,0.000967
0,5000,4,0.000956
0,5000,5,0.000958
0,5000,6,0.001008
0,5000,7,0.000964
0,5000,8,0.000962
0,5000,9,0.001071
0,5000,10,0.001327
0,7500,1,0.001518
0,7500,2,0.002236
0,7500,3,0.001661
0,7500,4,0.001624
0,7500,5,0.001595
0,7500,6,0.002265
0,7500,7,0.001792
0,7500,8,0.001697
0,7500,9,0.001672
0,7500,10,0.001631
0,10000,1,0.002236
0,10000,2,0.002240
0,10000,3,0.002222
0,10000,4,0.002193
0,10000,5,0.002200
0,10000,6,0.002216
0,10000,7,0.002223
0,10000,8,0.002219
0,10000,9,0.002094
0,10000,10,0.002148
0,15000,1,0.003366
0,15000,2,0.003434
0,15000,3,0.003561
0,15000,4,0.003500
0,15000,5,0.003422
0,15000,6,0.003523
0,15000,7,0.003612
0,15000,8,0.003272
0,15000,9,0.003237
0,15000,10,0.003444
0,20000,1,0.005675
0,20000,2,0.004879
0,20000,3,0.004828
0,20000,4,0.004557
0,20000,5,0.004604
0,20000,6,0.004631
0,20000,7,0.004724
0,20000,8,0.004856
0,20000,9,0.005493
0,20000,10,0.004907
0,25000,1,0.005741
0,25000,2,0.005858
0,25000,3,0.006176
0,25000,4,0.006124
0,25000,5,0.005976
0,25000,6,0.005914
0,25000,7,0.006006
0,25000,8,0.005847
0,25000,9,0.006063
0,25000,10,0.007030
0,30000,1,0.007445
0,30000,2,0.007235
0,30000,3,0.007482
0,30000,4,0.007582
0,30000,5,0.007450
0,30000,6,0.007089
0,30000,7,0.007502
0,30000,8,0.007477
0,30000,9,0.007616
0,30000,10,0.007769
0,35000,1,0.009060
0,35000,2,0.008582
0,35000,3,0.008490
0,35000,4,0.008915
0,35000,5,0.008873
0,35000,6,0.008540
0,35000,7,0.008527
0,35000,8,0.008616
0,35000,9,0.008695
0,35000,10,0.008799
0,40000,1,0.009903
0,40000,2,0.010028
0,40000,3,0.009949
0,40000,4,0.009873
0,40000,5,0.009881
0,40000,6,0.010363
0,40000,7,0.010735
0,40000,8,0.009880
0,40000,9,0.009846
0,40000,10,0.009876
0,45000,1,0.011374
0,45000,2,0.011225
0,45000,3,0.011811
0,45000,4,0.011893
0,45000,5,0.012066
0,45000,6,0.011044
0,45000,7,0.011237
0,45000,8,0.011026
0,45000,9,0.011197
0,45000,10,0.011218
0,50000,1,0.012587
0,50000,2,0.012474
0,50000,3,0.012768
0,50000,4,0.012643
0,50000,5,0.012782
0,50000,6,0.012749
0,50000,7,0.012743
0,50000,8,0.013196
0,50000,9,0.012675
0,50000,10,0.013142
0,55000,1,0.014440
0,55000,2,0.014866
0,55000,3,0.014254
0,55000,4,0.014272
0,55000,5,0.014736
0,55000,6,0.013987
0,55000,7,0.013993
0,55000,8,0.013802
0,55000,9,0.013976
0,55000,10,0.014701
0,60000,1,0.015461
0,60000,2,0.015535
0,60000,3,0.016173
0,60000,4,0.015284
0,60000,5,0.016065
0,60000,6,0.015813
0,60000,7,0.015802
0,60000,8,0.016378
0,60000,9,0.015212
0,60000,10,0.016241
0,65000,1,0.017484
0,65000,2,0.016773
0,65000,3,0.017560
0,65000,4,0.017001
0,65000,5,0.017040
0,65000,6,0.016746
0,65000,7,0.016661
0,65000,8,0.016667
0,65000,9,0.017322
0,65000,10,0.016574
0,70000,1,0.019144
0,70000,2,0.019194
0,70000,3,0.018282
0,70000,4,0.019388
0,70000,5,0.018233
0,70000,6,0.018085
0,70000,7,0.019196
0,70000,8,0.018855
0,70000,9,0.018642
0,70000,10,0.018905
0,75000,1,0.019702
0,75000,2,0.019480
0,75000,3,0.019453
0,75000,4,0.026649
0,75000,5,0.019931
0,75000,6,0.021518
0,75000,7,0.019601
0,75000,8,0.020827
0,75000,9,0.020897
0,75000,10,0.020884
0,80000,1,0.021735
0,80000,2,0.022298
0,80000,3,0.022341
0,80000,4,0.021139
0,80000,5,0.021172
0,80000,6,0.021367
0,80000,7,0.022412
0,80000,8,0.021313
0,80000,9,0.023708
0,80000,10,0.021398
0,85000,1,0.022883
0,85000,2,0.023113
0,85000,3,0.022834
0,85000,4,0.024092
0,85000,5,0.022551
0,85000,6,0.022696
0,85000,7,0.023048
0,85000,8,0.022516
0,85000,9,0.023219
0,85000,10,0.023994
0,90000,1,0.025328
0,90000,2,0.024240
0,90000,3,0.025005
0,90000,4,0.025802
0,90000,5,0.024344
0,90000,6,0.024223
0,90000,7,0.024257
0,90000,8,0.024326
0,90000,9,0.023947
0,90000,10,0.025441
0,95000,1,0.026542
0,95000,2,0.027192
0,95000,3,0.026283
0,95000,4,0.025941
0,95000,5,0.025807
0,95000,6,0.025875
0,95000,7,0.026307
0,95000,8,0.025412
0,95000,9,0.025969
0,95000,10,0.026481
0,100000,1,0.027315
0,100000,2,0.027577
0,100000,3,0.027197
0,100000,4,0.027125
0,100000,5,0.026994
0,100000,6,0.026845
0,100000,7,0.028552
0,100000,8,0.027522
0,100000,9,0.028090
0,100000,10,0.027327
