vector_type,vector_size,iteration,execution_time
0,25,1,0.000005
0,25,2,0.000003
0,25,3,0.000004
0,25,4,0.000003
0,25,5,0.000004
0,25,6,0.000003
0,25,7,0.000003
0,25,8,0.000004
0,25,9,0.000003
0,25,10,0.000003
0,100,1,0.000013
0,100,2,0.000013
0,100,3,0.000012
0,100,4,0.000013
0,100,5,0.000012
0,100,6,0.000013
0,100,7,0.000012
0,100,8,0.000012
0,100,9,0.000012
0,100,10,0.000014
0,500,1,0.000072
0,500,2,0.000069
0,500,3,0.000069
0,500,4,0.000070
0,500,5,0.000069
0,500,6,0.000068
0,500,7,0.000089
0,500,8,0.000068
0,500,9,0.000068
0,500,10,0.000064
0,1000,1,0.000139
0,1000,2,0.000138
0,1000,3,0.000138
0,1000,4,0.000141
0,1000,5,0.000137
0,1000,6,0.000138
0,1000,7,0.000150
0,1000,8,0.000148
0,1000,9,0.000157
0,1000,10,0.000139
0,2500,1,0.000584
0,2500,2,0.000388
0,2500,3,0.000404
0,2500,4,0.000386
0,2500,5,0.000382
0,2500,6,0.000403
0,2500,7,0.000392
0,2500,8,0.000402
0,2500,9,0.000382
0,2500,10,0.000408
0,5000,1,0.000852
0,5000,2,0.000832
0,5000,3,0.000910
0,5000,4,0.000837
0,5000,5,0.000889
0,5000,6,0.000860
0,5000,7,0.000842
0,5000,8,0.000845
0,5000,9,0.000843
0,5000,10,0.000942
0,7500,1,0.001342
0,7500,2,0.001312
0,7500,3,0.001395
0,7500,4,0.001423
0,7500,5,0.001866
0,7500,6,0.001387
0,7500,7,0.001377
0,7500,8,0.002352
0,7500,9,0.001412
0,7500,10,0.001390
0,10000,1,0.001904
0,10000,2,0.002148
0,10000,3,0.001901
0,10000,4,0.001865
0,10000,5,0.001905
0,10000,6,0.001944
0,10000,7,0.001895
0,10000,8,0.001877
0,10000,9,0.001793
0,10000,10,0.001829
0,15000,1,0.002851
0,15000,2,0.002797
0,15000,3,0.002861
0,15000,4,0.002980
0,15000,5,0.002886
0,15000,6,0.003231
0,15000,7,0.002730
0,15000,8,0.002766
0,15000,9,0.002873
0,15000,10,0.002763
0,20000,1,0.003866
0,20000,2,0.003976
0,20000,3,0.004016
0,20000,4,0.003870
0,20000,5,0.003807
0,20000,6,0.003854
0,20000,7,0.003892
0,20000,8,0.004044
0,20000,9,0.004057
0,20000,10,0.004231
0,25000,1,0.004829
0,25000,2,0.005034
0,25000,3,0.005089
0,25000,4,0.005147
0,25000,5,0.005199
0,25000,6,0.005034
0,25000,7,0.004894
0,25000,8,0.004911
0,25000,9,0.005072
0,25000,10,0.005202
0,30000,1,0.006697
0,30000,2,0.006172
0,30000,3,0.005923
0,30000,4,0.006326
0,30000,5,0.006323
0,30000,6,0.005999
0,30000,7,0.005935
0,30000,8,0.006207
0,30000,9,0.006336
0,30000,10,0.007478
0,35000,1,0.007455
0,35000,2,0.007187
0,35000,3,0.006903
0,35000,4,0.007295
0,35000,5,0.007379
0,35000,6,0.006976
0,35000,7,0.007072
0,35000,8,0.007048
0,35000,9,0.007037
0,35000,10,0.007398
0,40000,1,0.008143
0,40000,2,0.008254
0,40000,3,0.008109
0,40000,4,0.008070
0,40000,5,0.008130
0,40000,6,0.008197
0,40000,7,0.008848
0,40000,8,0.008163
0,40000,9,0.008185
0,40000,10,0.008161
0,45000,1,0.009241
0,45000,2,0.009188
0,45000,3,0.009432
0,45000,4,0.009460
0,45000,5,0.009913
0,45000,6,0.009739
0,45000,7,0.009058
0,45000,8,0.009006
0,45000,9,0.009011
0,45000,10,0.009222
0,50000,1,0.010182
0,50000,2,0.010200
0,50000,3,0.010827
0,50000,4,0.010690
0,50000,5,0.010335
0,50000,6,0.010371
0,50000,7,0.010379
0,50000,8,0.010321
0,50000,9,0.010671
0,50000,10,0.010261
0,55000,1,0.012103
0,55000,2,0.012537
0,55000,3,0.011614
0,55000,4,0.011422
0,55000,5,0.012029
0,55000,6,0.011397
0,55000,7,0.011447
0,55000,8,0.011290
0,55000,9,0.011362
0,55000,10,0.012384
0,60000,1,0.012812
0,60000,2,0.012665
0,60000,3,0.013325
0,60000,4,0.012500
0,60000,5,0.013051
0,60000,6,0.012439
0,60000,7,0.013071
0,60000,8,0.012820
0,60000,9,0.012668
0,60000,10,0.013143
0,65000,1,0.013827
0,65000,2,0.013593
0,65000,3,0.014362
0,65000,4,0.013651
0,65000,5,0.013731
0,65000,6,0.014209
0,65000,7,0.013477
0,65000,8,0.013340
0,65000,9,0.013395
0,65000,10,0.013538
0,70000,1,0.015252
0,70000,2,0.015988
0,70000,3,0.015086
0,70000,4,0.014861
0,70000,5,0.014963
0,70000,6,0.014794
0,70000,7,0.015665
0,70000,8,0.017855
0,70000,9,0.014912
0,70000,10,0.015725
0,75000,1,0.016015
0,75000,2,0.015854
0,75000,3,0.015831
0,75000,4,0.015933
0,75000,5,0.018200
0,75000,6,0.016526
0,75000,7,0.015865
0,75000,8,0.019172
0,75000,9,0.016925
0,75000,10,0.017018
0,80000,1,0.016929
0,80000,2,0.018329
0,80000,3,0.017102
0,80000,4,0.017549
0,80000,5,0.017237
0,80000,6,0.017335
0,80000,7,0.017170
0,80000,8,0.017310
0,80000,9,0.018107
0,80000,10,0.017812
0,85000,1,0.018373
0,85000,2,0.018525
0,85000,3,0.018456
0,85000,4,0.018327
0,85000,5,0.017936
0,85000,6,0.018387
0,85000,7,0.018232
0,85000,8,0.017945
0,85000,9,0.018812
0,85000,10,0.019165
0,90000,1,0.020620
0,90000,2,0.019584
0,90000,3,0.019446
0,90000,4,0.019497
0,90000,5,0.019112
0,90000,6,0.019334
0,90000,7,0.020359
0,90000,8,0.022536
0,90000,9,0.020409
0,90000,10,0.019862
0,95000,1,0.020913
0,95000,2,0.021326
0,95000,3,0.028794
0,95000,4,0.020931
0,95000,5,0.020745
0,95000,6,0.020836
0,95000,7,0.020746
0,95000,8,0.022059
0,95000,9,0.022148
0,95000,10,0.020736
0,100000,1,0.022364
0,100000,2,0.022354
0,100000,3,0.021499
0,100000,4,0.021512
0,100000,5,0.021521
0,100000,6,0.021480
0,100000,7,0.021434
0,100000,8,0.021801
0,100000,9,0.021541
0,100000,10,0.021390
