vector_size,execution_time
25,0.000003
100,0.000011
500,0.000099
1000,0.000152
2500,0.000398
5000,0.000970
7500,0.001386
10000,0.001842
15000,0.002813
20000,0.003952
25000,0.004920
30000,0.006232
35000,0.007336
40000,0.008018
45000,0.009417
50000,0.010312
