vector_size,execution_time
25,0.000002
100,0.000010
500,0.000208
1000,0.000790
2500,0.004848
5000,0.019546
7500,0.044578
10000,0.077497
15000,0.174053
20000,0.318072
25000,0.479805
30000,0.699651
35000,0.948351
40000,1.242266
45000,1.607736
50000,1.966531
