vector_size,execution_time
25,0.000002
100,0.000011
500,0.000093
1000,0.000159
2500,0.000438
5000,0.000991
7500,0.001560
10000,0.002088
15000,0.003275
20000,0.004660
25000,0.006163
30000,0.007359
35000,0.008591
40000,0.009695
45000,0.011173
50000,0.012641
