vector_size,execution_time
25,0.000002
100,0.000029
500,0.000591
1000,0.002292
2500,0.013896
5000,0.067162
7500,0.162504
10000,0.288760
15000,0.684054
20000,1.273150
25000,1.972511
30000,2.846070
35000,3.981880
40000,5.245678
45000,6.629168
50000,8.188427
