vector_size,execution_time
25,0.000002
100,0.000007
500,0.000043
1000,0.000095
2500,0.000264
5000,0.000600
7500,0.000943
10000,0.001212
15000,0.001871
20000,0.002687
25000,0.003353
30000,0.004282
35000,0.004790
40000,0.005444
45000,0.006244
50000,0.007138
